"UniqueCellID","Group","Poon_et_al_2022_nat_immunol_Human_Lung_CD4_TRM","Poon_et_al_2022_nat_immunol_Human_Skin_CD4_TRM","Poon_et_al_2022_nat_immunol_Human_jejunum_CD4_TRM","Zhang_2022_Gut_Human_Liver_HBV_infiltrating_CD4","Zheng_2017_Cell_Human_HCC_infiltrating_CD4","Argyriou_2022_Nat_Comm_Human_Synovial_tissues_TPH","Law_et_al_2024_Nature_Human_Synovial_tissues_TPH"
"huDistalExp1_plate6_BC55","huDistalExp1_plate6_BC55","SARS-CoV-2",0.127732109682439,-0.0475191552531253,-0.0155858690991838,0.355631343497331,0.27993723700233,0.103045068790054,0.0748312490858489
"huDistalExp1_plate6_BC52","huDistalExp1_plate6_BC52","H1N1",-0.250927189913827,0.137883967178167,-0.272155878428659,-0.148109682097088,-0.228184970666606,-0.0920717250945742,-0.155389324827682
"huDistalExp1_plate6_BC8","huDistalExp1_plate6_BC8","H1N1",-0.0847888655116592,0.0141428771565789,0.0257648746922295,-0.0203525926974925,-0.0292653894131021,-0.13899081003685,-0.062437287517822
"huDistalExp1_plate6_BC28","huDistalExp1_plate6_BC28","H1N1",0.033320439828835,0.0611096601769887,-0.105873118028311,0.0529544447050663,0.0153520988973856,-0.184559619876111,0.0438830999056535
"huDistalExp1_plate6_BC69","huDistalExp1_plate6_BC69","H1N1",0.061031415135096,-0.0529503499888981,-0.272309354036475,-0.132555384053853,0.0190870886894426,-0.157412099909078,-0.059297991609687
"huDistalExp1_plate6_BC25","huDistalExp1_plate6_BC25","H1N1",0.195825969452378,0.0315494940134116,-0.127062388129074,-0.0635142878430821,-0.115537074820676,-0.112065614884375,-0.092610809217431
"huDistalExp1_plate6_BC64","huDistalExp1_plate6_BC64","H1N1",0.0822904098424956,0.126798618310197,-0.140739508248861,-0.20996835419434,0.0383014167067501,-0.0933794094626329,0.0140248080108915
"huDistalExp1_plate6_BC30","huDistalExp1_plate6_BC30","H1N1",0.0569915091573322,0.191274544205341,0.0618238905371191,-0.103750141764563,-0.0404098004523106,-0.107764204476304,-0.107866666994487
"huDistalExp1_plate6_BC5","huDistalExp1_plate6_BC5","H1N1",0.0714947110500519,0.116815211280617,0.00597359762013921,-0.0581669053059535,-0.0513445540485512,-0.0310923802134454,-0.0615190659607309
"huDistalExp1_plate6_BC45","huDistalExp1_plate6_BC45","H1N1",0.456154321342044,0.305384556283218,0.271289894062145,0.329293407836361,0.32407359654366,0.0361752609742254,0.106626630426685
"huDistalExp1_plate6_BC38","huDistalExp1_plate6_BC38","H1N1",0.146970686718981,0.0369591022555993,0.0565414815089683,-0.108854827759487,0.00452777633767054,-0.0963045389019425,-0.0447186302679859
"huDistalExp1_plate6_BC17","huDistalExp1_plate6_BC17","H1N1",0.0154065072813386,0.0887502608810986,-0.122237346266352,-0.0502085527936698,0.0322262157497375,-0.0700794797901658,-0.0798346681043595
"huDistalExp1_plate6_BC19","huDistalExp1_plate6_BC19","H1N1",-0.101386981657478,-0.0637807618419878,-0.185010899498508,-0.0749465905178297,-0.121275719927019,-0.144492390103409,-0.176433215853853
"huDistalExp1_plate6_BC63","huDistalExp1_plate6_BC63","H1N1",0.0570099269393981,0.0432952712486445,0.00595610196520407,-0.092112651266086,-0.0244423107564707,-0.243531238777396,-0.000568012580640209
"huDistalExp1_plate6_BC70","huDistalExp1_plate6_BC70","H1N1",-0.01033122217195,0.318451458326677,0.231092448551761,0.247294380439743,0.0992228581573026,0.0514779446394688,0.119404687908591
"huDistalExp1_plate6_BC93","huDistalExp1_plate6_BC93","H1N1",0.245366068994704,0.0611665793609235,-0.0811977718238004,0.337500260384491,0.232388908602996,-0.0539667702911716,-0.0751262876951598
"huDistalExp1_plate6_BC54","huDistalExp1_plate6_BC54","H1N1",0.596133105255114,0.716019757715948,0.331612477290481,0.411346193485771,0.380471837944017,0.466949895302748,0.589024315950353
"huDistalExp1_plate6_BC32","huDistalExp1_plate6_BC32","H1N1",0.543042587732921,0.347031344949829,0.240109848048805,0.463490592604278,0.280878040091742,0.27781437297831,0.40025905047374
"huDistalExp1_plate6_BC95","huDistalExp1_plate6_BC95","H1N1",0.316772995948655,0.0302097767258696,-0.12815686450275,0.172728769330524,0.101846651582702,-0.133436921459302,-0.0354700361421992
"huDistalExp1_plate6_BC94","huDistalExp1_plate6_BC94","H1N1",-0.097448066044873,-0.163794914318852,-0.123621162849012,0.0740510609614787,0.0624056924332221,-0.0852091244491425,-0.0717179893882868
"huDistalExp1_plate6_BC23","huDistalExp1_plate6_BC23","H1N1",0.250535950227566,0.0840078567302437,0.00462547280258524,0.221302096229647,0.117276389325471,-0.0604529900083154,0.124871407205306
"huDistalExp1_plate6_BC67","huDistalExp1_plate6_BC67","H1N1",0.230606585958455,0.255897173274576,0.129206301282059,0.284297562544596,-0.0353639300470936,-0.0241887725756234,0.0279013596639486
"huDistalExp1_plate6_BC36","huDistalExp1_plate6_BC36","H1N1",-0.0705867882193515,0.216427956638966,-0.0498683575348176,0.14884028160057,0.0661575775074286,-0.00358013318609718,-0.0529065973086654
"huDistalExp1_plate6_BC27","huDistalExp1_plate6_BC27","H1N1",0.23361955721869,0.344052922203138,0.0550767475438775,0.252537284889251,-0.101974549816186,0.243733310615517,0.189218925507647
